source,target
45162945, 998378092157550592
277421250, 2246014224
415293130, 561621177
415293130, 561621177
415293130, 561621177
415293130, 561621177
277421250, 561621177
2246014224, 561621177
931399450655727616, 561621177
277421250, 415293130
931399450655727616, 415293130
931399450655727616, 415293130
561621177, 415293130
561621177, 415293130
2246014224, 277421250
45162945, 216544114
2596578522, 216544114
2596578522, 216544114
2596578522, 216544114
2596578522, 216544114
2596578522, 216544114
2596578522, 216544114
2596578522, 45162945
2596578522, 45162945
